Indexcd,Trddt,Clsindex,Retindex
399108,20000601,111.895,0.016848
000001,20000602,1916.250,0.006703
000002,20000602,2034.750,0.006734
000003,20000602,56.660,0.003365
399001,20000602,4728.883,0.007117
399106,20000602,591.347,0.006947
399107,20000602,636.110,0.006763
399108,20000602,114.468,0.022995
000001,20000605,1899.090,-0.008955
000002,20000605,2017.360,-0.008547
000003,20000605,53.810,-0.050300
399001,20000605,4721.137,-0.001638
399106,20000605,584.960,-0.010801
399107,20000605,629.157,-0.010930
399108,20000605,114.443,-0.000218
000001,20000606,1925.540,0.013928
000002,20000606,2045.460,0.013929
000003,20000606,54.570,0.014124
399001,20000606,4824.790,0.021955
399106,20000606,594.594,0.016470
399107,20000606,639.520,0.016471
399108,20000606,114.443,0.000000
000001,20000607,1935.030,0.004928
000002,20000607,2055.240,0.004781
000003,20000607,55.660,0.019974
399001,20000607,4826.191,0.000290
399106,20000607,596.724,0.003582
399107,20000607,641.781,0.003535
399108,20000607,115.301,0.007497
000001,20000608,1925.210,-0.005075
000002,20000608,2045.680,-0.004652
000003,20000608,52.920,-0.049227
399001,20000608,4760.341,-0.013644
399106,20000608,591.364,-0.008982
399107,20000608,636.489,-0.008246
399108,20000608,107.222,-0.070069
000001,20000609,1900.790,-0.012684
000002,20000609,2020.080,-0.012514
000003,20000609,51.270,-0.031179
399001,20000609,4731.389,-0.006082
399106,20000609,584.159,-0.012184
399107,20000609,628.650,-0.012316
399108,20000609,107.199,-0.000215
000001,20000612,1912.560,0.006192
000002,20000612,2032.290,0.006044
000003,20000612,52.430,0.022625
399001,20000612,4737.880,0.001372
399106,20000612,586.614,0.004203
399107,20000612,631.053,0.003822
399108,20000612,111.220,0.037510
000001,20000613,1938.670,0.013652
000002,20000613,2059.080,0.013182
000003,20000613,55.870,0.065611
399001,20000613,4790.023,0.011006
399106,20000613,594.002,0.012594
399107,20000613,638.831,0.012325
399108,20000613,115.169,0.035506
000001,20000614,1932.290,-0.003291
000002,20000614,2052.410,-0.003239
000003,20000614,55.360,-0.009128
399001,20000614,4766.485,-0.004914
399106,20000614,592.025,-0.003328
399107,20000614,636.782,-0.003207
399108,20000614,113.620,-0.013450
000001,20000615,1942.290,0.005175
000002,20000615,2063.060,0.005189
000003,20000615,55.570,0.003793
399001,20000615,4793.615,0.005692
399106,20000615,594.187,0.003652
399107,20000615,639.200,0.003797
399108,20000615,112.629,-0.008722
000001,20000616,1926.940,-0.007903
000002,20000616,2046.610,-0.007974
000003,20000616,55.560,-0.000180
399001,20000616,4757.174,-0.007602
399106,20000616,590.389,-0.006392
399107,20000616,635.151,-0.006334
399108,20000616,111.360,-0.011267
000001,20000619,1915.210,-0.006087
000002,20000619,2034.280,-0.006025
000003,20000619,54.820,-0.013319
399001,20000619,4752.922,-0.000894
399106,20000619,589.008,-0.002339
399107,20000619,633.894,-0.001979
399108,20000619,107.525,-0.034438
000001,20000620,1895.350,-0.010370
000002,20000620,2013.560,-0.010185
000003,20000620,53.200,-0.029551
399001,20000620,4733.929,-0.003996
399106,20000620,584.870,-0.007025
399107,20000620,629.538,-0.006872
399108,20000620,105.260,-0.021065
000001,20000621,1913.130,0.009381
000002,20000621,2032.280,0.009297
000003,20000621,54.200,0.018797
399001,20000621,4788.612,0.011551
399106,20000621,592.468,0.012991
399107,20000621,637.395,0.012481
399108,20000621,111.553,0.059785
000001,20000622,1913.900,0.000402
000002,20000622,2033.180,0.000443
000003,20000622,53.990,-0.003875
399001,20000622,4764.771,-0.004979
399106,20000622,593.114,0.001090
399107,20000622,638.163,0.001205
399108,20000622,110.575,-0.008767
000001,20000623,1939.630,0.013444
000002,20000623,2060.310,0.013344
000003,20000623,55.280,0.023893
399001,20000623,4808.313,0.009138
399106,20000623,600.584,0.012595
399107,20000623,646.154,0.012522
399108,20000623,112.679,0.019028
000001,20000626,1948.640,0.004645
000002,20000626,2069.560,0.004490
000003,20000626,56.430,0.020803
399001,20000626,4823.824,0.003226
399106,20000626,606.546,0.009927
399107,20000626,652.510,0.009837
399108,20000626,114.679,0.017750
000001,20000627,1942.900,-0.002946
000002,20000627,2063.370,-0.002991
000003,20000627,56.540,0.001949
399001,20000627,4816.375,-0.001544
399106,20000627,606.912,0.000603
