,timestamp,title,url
FIN_zcgg_142,2019-10-22,民用航空发动机、新支线飞机和大型客机享受税收优惠政策,http://szs.mof.gov.cn/zhengcefabu/201910/t20191022_3407253.htm
FIN_zcgg_143,2019-10-21,《国有金融资本产权登记管理办法（试行）》印发,http://jrs.mof.gov.cn/zhengcefabu/201910/t20191018_3405076.htm
FIN_zcgg_144,2019-10-18,2019年中央专项彩票公益金支持开展居家和社区养老服务改革试点补助资金预算下达,http://sbs.mof.gov.cn/zhengcefabu/201910/t20191017_3404846.htm
FIN_zcgg_145,2019-10-16,基本公共卫生服务等5项补助资金管理办法修订印发,http://sbs.mof.gov.cn/zhengcefabu/201910/t20191016_3403324.htm
FIN_zcgg_146,2019-10-15,《城乡义务教育补助经费管理办法》印发,http://jkw.mof.gov.cn/zhengcefabu/201910/t20191015_3402695.htm
FIN_zcgg_147,2019-10-14,《中央引导地方科技发展资金管理办法》印发,http://jkw.mof.gov.cn/zhengcefabu/201910/t20191012_3400727.htm
FIN_zcgg_148,2019-10-12,《关于加快农业保险高质量发展的指导意见》印发,http://jrs.mof.gov.cn/zhengcefabu/201910/t20191012_3400537.htm
FIN_zcgg_149,2019-10-11,财政部印发通知进一步加大授权力度 促进科技成果转化,http://zcgls.mof.gov.cn/zhengcefabu/201910/t20191011_3399709.htm
FIN_zcgg_150,2019-09-30,生活性服务业增值税加计抵减有关政策明确,http://szs.mof.gov.cn/zhengcefabu/201909/t20190930_3396184.htm
FIN_zcgg_151,2019-09-27,合并财务报表格式（2019版）印发,http://kjs.mof.gov.cn/zhengcefabu/201909/t20190927_3394088.htm
FIN_zcgg_152,2019-09-20,关于全面推开划转部分国有资本充实社保基金工作的通知,http://zcgls.mof.gov.cn/zhengcefabu/201909/t20190920_3389686.htm
FIN_zcgg_153,2019-09-16,金融企业贷款损失准备金企业所得税税前扣除有关政策明确,http://szs.mof.gov.cn/zhengcefabu/201909/t20190911_3384891.htm
FIN_zcgg_154,2019-09-16,金融企业涉农贷款和中小企业贷款损失准备金税前扣除有关政策明确,http://szs.mof.gov.cn/zhengcefabu/201909/t20190911_3384890.htm
FIN_zcgg_155,2019-09-11,国务院关税税则委员会关于第一批对美加征关税商品第一次排除清单的公告,http://gss.mof.gov.cn/gzdt/zhengcefabu/201909/t20190911_3384638.htm
FIN_zcgg_156,2019-09-04,部分先进制造业增值税期末留抵退税政策明确,http://szs.mof.gov.cn/zhengcefabu/201909/t20190903_3379527.htm
FIN_zcgg_157,2019-09-04,财政部、农业农村部印发通知支持做好稳定生猪生产保障市场供应,http://nys.mof.gov.cn/czpjZhengCeFaBu_2_2/201909/t20190904_3379860.htm
FIN_zcgg_158,2019-09-03,四部门修改中央财政困难群众救助等补助资金管理办法,http://sbs.mof.gov.cn/zhengcefabu/201908/t20190830_3377435.htm
FIN_zcgg_159,2019-09-02,边销茶继续免征增值税,http://szs.mof.gov.cn/zhengcefabu/201908/t20190830_3377322.htm
FIN_zcgg_160,2019-08-30,第四批中央财政支持开展居家和社区养老服务改革试点地区确定,http://sbs.mof.gov.cn/zhengcefabu/201908/t20190830_3377402.htm
FIN_zcgg_161,2019-08-30,《中华人民共和国耕地占用税法实施办法》发布,http://szs.mof.gov.cn/zhengcefabu/201908/t20190830_3377172.htm
