,China News-Based EPU,CNEPU,CN_Fiscal,CN_Monetary,CN_Trade,CN_EXR
2010-06-01,130.0135040283203,146.31207937450196,142.88085246787,175.754277708813,158.492999176505,224.211775820989
2010-07-01,70.815673828125,135.37731427394255,142.119253591518,167.161021067903,85.8015172436365,155.84000566476
2010-08-01,104.10298919677734,122.90628688254766,126.4427640437,143.636371134445,99.3476136208918,104.609731769859
2010-09-01,121.59742736816406,117.44827661921896,102.832231712585,118.368681237253,161.468977413126,177.999432070528
2010-10-01,74.11595916748047,142.88930118372966,169.201909006383,221.956394616692,281.466906201596,412.0542253177
2010-11-01,82.42306518554688,148.3723056571888,167.829719753958,245.793558542648,163.018196228515,331.866052356063
2010-12-01,110.6732406616211,141.44126669105657,269.067595613966,254.772629565538,125.323648838928,183.898804055936
2011-01-01,172.68040466308594,140.6562165110568,170.714210975024,198.498630070711,113.403748053642,179.871613899317
2011-02-01,46.08258056640625,154.14141933315295,201.353194614407,273.26401390346,96.822316876596,195.266761073907
2011-03-01,131.2483673095703,173.23405327399288,184.411204441213,241.561729048531,119.821071240663,234.682222937411
2011-04-01,153.01113891601562,148.70689655905397,123.291596065545,217.417898852077,77.6887984321144,181.355882703642
2011-05-01,26.144084930419922,127.50719772625001,111.336894351404,159.329998828437,63.1057148267228,140.964556110737
2011-06-01,39.59001159667969,133.66587088556741,102.66283093759,158.822823167062,47.8055086216395,89.5244656522401
2011-07-01,207.39718627929688,152.77481607445648,242.148977752166,232.414533974359,62.6069942370435,140.028646891529
2011-08-01,186.73147583007812,238.3171741120536,450.728619339359,357.998548551018,151.42574668753,330.021867694786
2011-09-01,158.05563354492188,170.50402109983466,253.018027354638,226.917059702712,127.818801503726,146.859588995536
2011-10-01,238.70960998535156,164.23736905292603,199.318823443692,192.943252905122,155.012646715535,194.245462361648
2011-11-01,363.5231018066406,185.22491345425317,307.670765612416,206.714034681835,174.403643755407,172.270328215021
2011-12-01,324.462646484375,199.94860967127303,285.846938633203,268.354503176459,199.372245268567,264.750438772658
2012-01-01,298.70263671875,215.35002796569458,289.850685188995,219.385961341814,175.202218816961,174.013533811112
2012-02-01,236.0895233154297,170.21644864598238,175.289645969619,180.026426479121,104.666189824822,146.871271712038
2012-03-01,242.72799682617188,146.69367009014024,195.941293249578,154.718636513777,148.224596062649,166.599834055262
2012-04-01,155.8289337158203,157.65655232126684,143.658947543972,169.596699164439,120.380859711851,161.780730875482
2012-05-01,216.251953125,174.754473867743,219.213297903679,162.283740214782,103.18053326394,159.565375859594
2012-06-01,304.552734375,187.17671091895585,217.988734786084,215.907657000619,127.224960883268,106.372288203656
2012-07-01,301.5229187011719,130.18083097796162,167.647043788735,153.065818093544,57.7154962311605,82.776055738238
2012-08-01,215.31752014160156,131.25980780110459,139.494506245674,129.517773629182,121.03509469844,88.3130742765108
2012-09-01,161.97898864746094,126.16681834052721,145.313546951852,139.464080778632,84.8698974739271,105.780255902926
2012-10-01,300.70208740234375,144.67576836488786,106.674682285211,121.894895092343,104.105541055134,121.135215109691
2012-11-01,306.3358459472656,142.50238649187787,172.791245972162,99.4141067306811,115.498151591568,119.269352968861
2012-12-01,192.76840209960938,142.3644211352662,151.049028712865,105.362253598873,101.899524862903,95.8981742504011
2013-01-01,208.5545196533203,162.8649518052587,145.350611746124,112.667834523539,69.892763021675,94.7372874033058
2013-02-01,162.2560272216797,149.5263274596657,116.799007367293,135.791114116513,166.927563463641,115.217796009929
